| Version | Main goal                 | RP side                                                          | NEOX side                                                       | Test focus                                                  |
| ------- | ------------------------- | ---------------------------------------------------------------- | --------------------------------------------------------------- | ----------------------------------------------------------- |
| **V31** | Bulk file transfer        | `LOAD`, `SAVE`                                                   | `SYS_LOAD_FILE_TO_MEMORY`, `SYS_SAVE_MEMORY_TO_FILE`            | Save/load memory blocks across contexts                     |
| **V32** | Extended open modes       | extra open modes                                                 | FD permission mapping                                           | write-existing, RW-existing, RW-create                      |
| **V33** | Seek/tell                 | `SEEK`, `TELL`                                                   | `SYS_SEEK`, `SYS_TELL`                                          | `SEEK_SET`, `SEEK_CUR`, `SEEK_END`                          |
| **V34** | Delete/rename             | `DELETE`, `RENAME`                                               | `SYS_DELETE`, `SYS_RENAME`                                      | rename file, verify old name gone, delete file              |
| **V35** | Directory enumeration     | `OPENDIR`, `READDIR`, `CLOSEDIR`, permanent `ls` monitor command | directory fd type, `SYS_OPENDIR`, `SYS_READDIR`, `SYS_CLOSEDIR` | two independent directory scans, `ls 0`, `ls 1`             |
| **V36** | Current directory         | no RP global cwd                                                 | per-process cwd, `CHDIR`, `GETCWD`, path resolver               | `.`, `/`, `./FILE.TXT`, relative open/opendir               |
| **V37** | Create/remove directories | `MKDIR`, `RMDIR`                                                 | `SYS_MKDIR`, `SYS_RMDIR`                                        | create dir, enter dir, create file, delete file, remove dir |
| **V38** | Shell filesystem applets  | optional monitor helpers only                                    | `neosh` / `nbox` applets                                        | `pwd`, `cd`, `ls`, `cat`, `rm`, `mv`, `mkdir`, `rmdir`      |
| **V39** | Cleanup/stabilization     | align command tables, remove stale diagnostics                   | clean test code, docs/comments, ABI review                      | no behavior change, regression run                          |
